Rank,Regio_Naam,Bottleneck_2Jaar_Pct_Avg,Bottleneck_5Jaar_Pct_Avg,Vergunning_Bottleneck_Pct_Avg,Interpretation
1,Simpelveld,66.33,50.66,66.36,Highest bottleneck - 1 in 2 projecten vast >2 jaar
2,Rheden,57.91,36.8,80.05,Top 3 bottleneck - vergunning primary issue
3,Voerendaal,56.63,31.02,80.73,Top 3 bottleneck - vergunning primary issue
4,Valkenburg aan de Geul,56.34,37.2,88.23,Rank 4 - significant bottleneck (56.3% vast >2 jaar)
5,Heerlen,54.88,28.77,77.63,Rank 5 - significant bottleneck (54.9% vast >2 jaar)
6,De Bilt,53.88,29.36,91.44,Rank 6 - significant bottleneck (53.9% vast >2 jaar)
7,Gulpen-Wittem,51.39,31.45,71.82,Rank 7 - significant bottleneck (51.4% vast >2 jaar)
8,Uitgeest,49.41,16.03,78.72,Rank 8 - significant bottleneck (49.4% vast >2 jaar)
9,Schiermonnikoog,49.39,0.59,46.77,Rank 9 - significant bottleneck (49.4% vast >2 jaar)
10,Ooststellingwerf,48.5,28.08,79.53,Rank 10 - significant bottleneck (48.5% vast >2 jaar)
